,x,y
0,2.5077658,2.4391391
1,3.4138505,4.8016977
2,7.6111736,4.2763195
3,5.059754,3.5684311
4,5.2838593,3.5741885
5,4.9534373,3.6411977
6,5.0130267,3.5631812
7,4.733864,3.288848
8,7.5435734,4.15381
9,7.59223,4.2059355
10,7.7210474,4.127866
11,3.326097,4.814203
12,7.4862323,4.402725
13,3.7262542,4.220618
14,3.1805649,5.4173045
15,6.640354,3.258772
16,4.822339,5.278011
17,4.9057465,5.388952
18,6.381449,5.5494003
19,6.300167,5.5644717
20,7.495617,4.2117686
21,3.236045,4.8049946
22,7.74912,4.26809
23,5.2180257,3.5513244
24,3.4799786,5.352837
25,5.1627226,3.3197947
26,3.3876777,4.9175134
27,7.5840354,4.2471147
28,3.2669897,5.031663
29,1.8240083,7.290063
30,5.3131175,6.055816
31,5.1595955,7.0995765
32,1.8801726,6.082622
33,7.474678,4.1831827
34,2.0033233,3.6757941
35,7.884401,4.461457
36,-0.39491907,4.547722
37,7.033659,4.722484
38,6.607224,4.570253
39,6.558815,4.69394
40,3.2823367,4.8944025
41,6.2591505,0.670116
42,6.427265,0.81268054
43,3.003637,4.7883253
44,4.6140785,0.7936184
45,4.499071,4.418945
46,6.623037,4.7309513
47,7.0424337,1.050674
48,7.941735,2.6107743
49,6.3243933,0.96785754
50,6.036588,4.4977174
51,3.257434,4.9537554
52,6.8281975,4.3051887
53,-0.2904219,4.491587
54,7.4340405,4.0683126
55,1.4492676,6.503274
56,7.0641623,4.784409
57,7.562252,4.0992146
58,0.6826498,6.680866
59,7.7208242,5.563184
60,5.6268334,8.811658
61,2.3607736,1.50756
62,2.1176603,0.11057057
63,1.9804305,1.9986122
64,7.193686,8.233364
65,4.327457,7.6767645
66,3.3097327,4.889025
67,7.055127,8.289774
68,1.770403,2.1111937
69,1.9039906,2.0797753
70,6.0753956,8.664404
71,6.9330335,7.928385
72,7.5453644,4.2251134
73,7.680334,4.218052
74,4.043539,-1.2158659
75,7.8841605,4.318646
76,7.0639524,9.323489
77,6.434394,3.4447622
78,6.7748804,0.56765723
79,0.7044193,8.242623
80,7.7219625,4.499347
81,3.7395194,0.15731344
82,0.024059953,7.931936
83,-0.080171704,7.7832828
84,-0.049309462,7.8299212
85,0.12724431,7.6664467
86,0.04140588,7.967464
87,-0.27585557,8.355847
88,-0.119719215,7.9141335
89,-0.050640255,7.823252
90,0.033557452,7.7906513
91,0.015395852,7.751368
92,-0.042341094,7.8213305
93,0.06444827,7.8605413
94,0.83617324,7.866916
95,-0.10686345,7.786535
96,-0.13372321,7.697935
97,0.11466098,8.000461
98,3.972997,1.77089
99,4.0816684,1.7823449
100,6.4362817,4.522479
101,7.7143693,4.315912
102,7.5075774,4.20963
103,7.797206,4.3910074
104,3.8628478,1.6533169
105,3.9183733,1.6890922
106,6.4144025,0.79287153
107,5.768488,8.406514
108,6.2388935,8.81383
109,3.921631,1.8547697
110,5.7771006,8.673358
111,2.9356081,3.6327066
112,3.0887623,3.8686953
113,6.9697905,8.131131
114,7.046172,8.376887
115,3.7240746,3.648039
116,0.07534371,2.798559
117,2.9766219,3.731509
118,0.38740903,2.5821178
119,3.5649369,3.5537686
120,6.0061283,8.733917
121,0.81507117,3.4521053
122,1.3683133,3.4729118
123,1.4918182,3.5430596
124,1.3705257,3.437075
125,0.79559475,3.5384512
126,1.2304757,3.5058627
127,1.321307,3.463785
128,1.6717573,2.9242365
129,1.3478462,3.4805994
130,1.2174512,3.3883877
131,1.4136487,3.5923212
132,1.2816366,3.4639575
133,0.68640196,3.5982091
134,1.2784408,3.4712582
135,2.3457086,4.7096357
136,3.1422162,1.0918099
137,1.6621199,5.3850236
138,-0.48347044,3.496535
139,2.597722,8.254927
140,2.8230162,8.359674
141,4.0639777,1.3174199
142,1.1291922,4.7025366
143,2.5668955,8.370468
144,3.2597845,1.1587913
145,1.097567,4.61968
146,1.3460242,4.5983243
147,1.1437504,4.6693563
148,1.4101154,4.6541085
149,7.5988317,4.1917667
150,7.7121353,4.0674314
151,6.918984,5.728028
152,5.758924,8.502446
153,6.4595904,4.6788983
154,6.2292504,8.781111
155,6.1585655,8.934153
156,6.182547,8.881405
157,6.1691213,8.625544
158,7.528742,8.356164
159,7.460441,8.246411
160,6.0644913,8.63444
161,6.1073933,8.494372
162,7.02363,9.017857
163,6.6627154,7.4837914
164,6.5206237,4.7611403
165,1.8817672,8.717934
166,7.497752,3.263156
167,7.6938143,3.214626
168,1.8663983,8.6249695
169,1.9654646,8.660525
170,6.7347603,4.5551863
171,7.712971,4.16671
172,7.3710203,4.104425
173,4.409532,8.330345
174,1.9473931,8.69466
175,1.8254983,8.612111
176,5.9488983,4.451133
177,5.7939887,4.415966
178,3.3967962,8.282161
179,3.753873,5.4246397
180,6.3278866,5.925046
181,5.7153993,4.393871
182,5.825606,4.464051
183,5.3098493,5.080787
184,5.7409267,4.5393953
185,3.4519947,8.274369
186,6.8125014,4.734364
187,7.436067,4.5289793
188,6.7458653,4.59504
189,7.5430655,6.171766
190,6.284806,0.9617613
191,7.632236,6.0943093
192,7.3713627,4.7061787
193,7.7692027,6.282842
194,7.8051176,6.207864
195,6.3654175,4.7141175
196,7.729524,6.262864
197,7.2014666,4.5807285
198,0.3653114,2.863932
199,0.29434282,2.7297294
200,7.4144573,4.7066107
201,7.194746,4.6147943
202,0.21063991,1.8013532
